City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
489,lucapa,-8.4192,20.7447,28.7,21,4,4.51,AO,1689583744
490,filingue,14.3521,3.3168,34.21,39,74,3.58,NE,1689583744
491,hammerfest,70.6634,23.6821,18.25,63,40,5.66,NO,1689583744
492,champerico,14.3,-91.9167,25.85,76,100,2.5,GT,1689583744
493,chibougamau,49.9168,-74.3659,15.79,94,100,1.96,CA,1689583744
494,gwadar,25.1216,62.3254,29.86,73,15,4.8,PK,1689583745
495,malanje,-9.5402,16.341,19.21,77,75,3.6,AO,1689583745
496,amungan,15.3652,119.9582,27.45,88,100,5.7,PH,1689583745
497,waat,51.1454,6.4958,21.66,63,40,3.6,DE,1689583746
498,safaga,26.7292,33.9365,34.27,41,0,3.26,EG,1689583746
499,harstad,68.799,16.5293,20.13,79,76,5.81,NO,1689583746
500,salalah,17.0151,54.0924,27.05,94,100,4.12,OM,1689583746
501,bahia de kino,28.8333,-111.9333,31.07,78,74,3.92,MX,1689583747
502,qui nhon,13.7667,109.2333,30.27,63,100,7.17,VN,1689583522
503,palangkaraya,-2.2,113.8333,30.02,60,100,1.75,ID,1689583747
504,al jawf,29.5,38.75,38.82,10,0,5.98,SA,1689583747
505,mount hagen,-5.8581,144.2274,18.42,82,40,5.14,PG,1689583747
506,puerto quijarro,-17.7833,-57.7667,20.26,68,0,2.1,BO,1689583748
507,quezon,7.7303,125.0989,26.44,88,80,0.99,PH,1689583748
508,auki,-8.7676,160.7034,25.51,90,99,1.08,SB,1689583748
509,san alberto,7.7611,-73.3922,23.66,85,81,1.38,CO,1689583748
510,shalkar,47.8288,59.6258,28.63,27,100,7.44,KZ,1689583748
511,parham,17.0968,-61.7705,27.83,66,40,4.63,AG,1689583749
512,karkala,13.2,74.9833,28.9,84,100,3.65,IN,1689583749
513,huoqiu chengguanzhen,32.3547,116.2939,30.15,68,27,4.37,CN,1689583749
514,amga,60.8953,131.9608,20.02,53,98,1.44,RU,1689583749
515,fortuna,40.5982,-124.1573,14.4,93,100,2.57,US,1689583749
516,kavaratti,10.5669,72.642,28.32,78,66,8.33,IN,1689583750
517,grafton,42.207,-71.6856,22.78,96,100,0.89,US,1689583750
518,vilyuysk,63.7553,121.6247,22.25,36,100,4.61,RU,1689583750
519,miri,4.4148,114.0089,33.08,70,20,3.09,MY,1689583750
520,nuuk,64.1835,-51.7216,9.34,93,75,16.46,GL,1689583750
521,bolotnoye,55.6717,84.3981,22.25,56,83,3.61,RU,1689583750
